Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
08/04/2026,11:00:00,Pôle Fa - ELICA,3,1,2,2378,792.67,"33,33%"
08/04/2026,14:30:00,Pôle Fa - ELICA,1,0,1,140,140,"0,00%"
08/04/2026,09:30:00,Pôle Fa - ELICA,4,4,0,1662,415.5,"100,00%"
08/04/2026,08:15:00,Pôle Fa - ELICA,3,3,0,2652,884,"100,00%"
08/04/2026,15:45:00,Pôle Fa - ELICA,2,1,1,1531,765.5,"50,00%"
08/04/2026,10:15:00,Pôle Fa - ELICA,1,1,0,368,368,"100,00%"
08/04/2026,15:00:00,Pôle Fa - ELICA,1,1,0,367,367,"100,00%"
08/04/2026,09:00:00,Pôle Fa - ELICA,2,2,0,629,314.5,"100,00%"
08/04/2026,14:00:00,Pôle Fa - ELICA,3,1,2,2797,932.33,"33,33%"
08/04/2026,16:00:00,Pôle Fa - ELICA,3,2,1,1974,658,"66,67%"
08/04/2026,13:45:00,Pôle Fa - ELICA,8,4,4,3176,397,"50,00%"
08/04/2026,11:15:00,Pôle Fa - ELICA,1,0,1,5,5,"0,00%"
08/04/2026,12:15:00,Pôle Fa - ELICA,3,3,0,1297,432.33,"100,00%"
08/04/2026,11:45:00,Pôle Fa - ELICA,5,5,0,2651,530.2,"100,00%"
08/04/2026,12:45:00,Pôle Fa - ELICA,1,1,0,495,495,"100,00%"
08/04/2026,16:30:00,Pôle Fa - ELICA,3,2,1,1480,493.33,"66,67%"
08/04/2026,16:15:00,Pôle Fa - ELICA,4,2,2,1011,252.75,"50,00%"
08/04/2026,08:30:00,Pôle Fa - ELICA,5,1,4,2667,533.4,"20,00%"
08/04/2026,13:00:00,Pôle Fa - ELICA,5,2,3,2039,407.8,"40,00%"
08/04/2026,12:30:00,Pôle Fa - ELICA,4,4,0,1955,488.75,"100,00%"
08/04/2026,13:30:00,Pôle Fa - ELICA,3,2,1,1666,555.33,"66,67%"
08/04/2026,14:15:00,Pôle Fa - ELICA,1,0,1,435,435,"0,00%"
08/04/2026,13:15:00,Pôle Fa - ELICA,3,1,2,1526,508.67,"33,33%"
08/04/2026,08:45:00,Pôle Fa - ELICA,3,3,0,1290,430,"100,00%"
08/04/2026,10:00:00,Pôle Fa - ELICA,2,0,2,1220,610,"0,00%"
08/04/2026,09:15:00,Pôle Fa - ELICA,3,2,1,1536,512,"66,67%"
08/04/2026,14:45:00,Pôle Fa - ELICA,1,1,0,791,791,"100,00%"
08/04/2026,15:30:00,Pôle Fa - ELICA,1,1,0,583,583,"100,00%"
08/04/2026,11:00:00,Pôle FA - MIDEA,4,4,0,1737,434.25,"100,00%"
08/04/2026,14:30:00,Pôle FA - MIDEA,3,3,0,2533,844.33,"100,00%"
08/04/2026,09:30:00,Pôle FA - MIDEA,2,2,0,401,200.5,"100,00%"
08/04/2026,11:45:00,Pôle FA - MIDEA,2,2,0,939,469.5,"100,00%"
08/04/2026,12:45:00,Pôle FA - MIDEA,1,1,0,128,128,"100,00%"
08/04/2026,08:15:00,Pôle FA - MIDEA,5,5,0,2812,562.4,"100,00%"
08/04/2026,16:30:00,Pôle FA - MIDEA,2,2,0,2109,1054.5,"100,00%"
08/04/2026,15:15:00,Pôle FA - MIDEA,1,1,0,600,600,"100,00%"
08/04/2026,16:15:00,Pôle FA - MIDEA,1,1,0,558,558,"100,00%"
08/04/2026,15:45:00,Pôle FA - MIDEA,2,2,0,493,246.5,"100,00%"
08/04/2026,08:30:00,Pôle FA - MIDEA,1,1,0,520,520,"100,00%"
08/04/2026,13:00:00,Pôle FA - MIDEA,2,2,0,1488,744,"100,00%"
08/04/2026,13:30:00,Pôle FA - MIDEA,1,1,0,551,551,"100,00%"
08/04/2026,14:15:00,Pôle FA - MIDEA,4,1,3,2073,518.25,"25,00%"
08/04/2026,10:15:00,Pôle FA - MIDEA,1,1,0,502,502,"100,00%"
08/04/2026,11:30:00,Pôle FA - MIDEA,2,2,0,934,467,"100,00%"
08/04/2026,08:45:00,Pôle FA - MIDEA,2,2,0,1665,832.5,"100,00%"
08/04/2026,08:00:00,Pôle FA - MIDEA,1,1,0,172,172,"100,00%"
08/04/2026,10:00:00,Pôle FA - MIDEA,3,3,0,2012,670.67,"100,00%"
08/04/2026,09:00:00,Pôle FA - MIDEA,3,3,0,1959,653,"100,00%"
08/04/2026,09:15:00,Pôle FA - MIDEA,4,4,0,1894,473.5,"100,00%"
08/04/2026,09:45:00,Pôle FA - MIDEA,3,3,0,2481,827,"100,00%"
08/04/2026,16:00:00,Pôle FA - MIDEA,3,1,2,1285,428.33,"33,33%"
08/04/2026,14:45:00,Pôle FA - MIDEA,1,1,0,174,174,"100,00%"
08/04/2026,13:45:00,Pôle FA - MIDEA,1,1,0,144,144,"100,00%"
08/04/2026,15:30:00,Pôle FA - MIDEA,4,4,0,2041,510.25,"100,00%"
08/04/2026,12:00:00,MOBALPA,7,3,4,5476,782.29,"42,86%"
08/04/2026,14:30:00,MOBALPA,4,1,3,1998,499.5,"25,00%"
08/04/2026,09:30:00,MOBALPA,7,4,3,3681,525.86,"57,14%"
08/04/2026,15:15:00,MOBALPA,6,5,1,2954,492.33,"83,33%"
08/04/2026,10:15:00,MOBALPA,4,4,0,3353,838.25,"100,00%"
08/04/2026,14:00:00,MOBALPA,3,1,2,1273,424.33,"33,33%"
