Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
07/04/2026,13:15:00,Pôle Fa - ELICA,2,2,0,139,69.5,"100,00%"
07/04/2026,09:00:00,Pôle Fa - ELICA,5,5,0,297,59.4,"100,00%"
07/04/2026,16:30:00,Pôle Fa - ELICA,1,1,0,53,53,"100,00%"
07/04/2026,17:15:00,Pôle Fa - ELICA,1,1,0,514,514,"100,00%"
07/04/2026,11:45:00,Pôle Fa - ELICA,1,1,0,72,72,"100,00%"
07/04/2026,09:30:00,Pôle Fa - ELICA,1,1,0,95,95,"100,00%"
07/04/2026,15:15:00,Pôle Fa - ELICA,2,1,1,16,8,"50,00%"
07/04/2026,17:30:00,Pôle Fa - ELICA,1,1,0,77,77,"100,00%"
07/04/2026,13:30:00,Pôle Fa - ELICA,2,2,0,139,69.5,"100,00%"
07/04/2026,14:00:00,Pôle Fa - ELICA,2,2,0,128,64,"100,00%"
07/04/2026,16:45:00,Pôle Fa - ELICA,1,1,0,71,71,"100,00%"
07/04/2026,09:15:00,Pôle Fa - ELICA,4,4,0,780,195,"100,00%"
07/04/2026,12:45:00,Pôle FA - MIDEA,1,1,0,62,62,"100,00%"
07/04/2026,17:15:00,Pôle FA - MIDEA,2,2,0,169,84.5,"100,00%"
07/04/2026,11:30:00,Pôle FA - MIDEA,1,1,0,64,64,"100,00%"
07/04/2026,13:30:00,Pôle FA - MIDEA,4,4,0,539,134.75,"100,00%"
07/04/2026,16:45:00,Pôle FA - MIDEA,2,2,0,111,55.5,"100,00%"
07/04/2026,09:15:00,Pôle FA - MIDEA,1,1,0,39,39,"100,00%"
07/04/2026,09:30:00,Pôle FA - MIDEA,2,2,0,426,213,"100,00%"
07/04/2026,09:45:00,Pôle FA - MIDEA,2,2,0,100,50,"100,00%"
07/04/2026,12:00:00,Pôle FA - MIDEA,1,1,0,63,63,"100,00%"
07/04/2026,13:00:00,Pôle FA - MIDEA,2,2,0,632,316,"100,00%"
07/04/2026,17:30:00,Pôle FA - MIDEA,1,1,0,625,625,"100,00%"
07/04/2026,17:00:00,Pôle FA - MIDEA,2,2,0,404,202,"100,00%"
07/04/2026,13:15:00,Pôle FA - MIDEA,2,2,0,112,56,"100,00%"
07/04/2026,09:00:00,Pôle FA - MIDEA,1,1,0,675,675,"100,00%"
07/04/2026,10:00:00,unknown,2,2,0,1115,557.5,"100,00%"
07/04/2026,10:30:00,unknown,2,2,0,885,442.5,"100,00%"
07/04/2026,11:00:00,unknown,1,1,0,1644,1644,"100,00%"
07/04/2026,11:15:00,unknown,1,1,0,568,568,"100,00%"
07/04/2026,11:45:00,unknown,1,1,0,47,47,"100,00%"
07/04/2026,14:45:00,unknown,2,2,0,251,125.5,"100,00%"
07/04/2026,15:30:00,unknown,1,1,0,716,716,"100,00%"
07/04/2026,16:00:00,unknown,1,1,0,766,766,"100,00%"
07/04/2026,16:15:00,unknown,1,1,0,674,674,"100,00%"
07/04/2026,17:00:00,unknown,1,1,0,105,105,"100,00%"
Total pour 07/04/2026,,,60,59,1,13173,219.55,"98,33%"
