Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
25/03/2026,16:30:00,Pôle Fa - ELICA,1,1,0,1009,1009,"100,00%"
25/03/2026,09:30:00,Pôle Fa - ELICA,1,1,0,207,207,"100,00%"
25/03/2026,16:15:00,Pôle Fa - ELICA,1,1,0,5,5,"100,00%"
25/03/2026,11:00:00,Pôle Fa - ELICA,1,1,0,109,109,"100,00%"
25/03/2026,10:30:00,Pôle Fa - ELICA,1,1,0,174,174,"100,00%"
25/03/2026,17:45:00,Pôle Fa - ELICA,1,1,0,165,165,"100,00%"
25/03/2026,09:45:00,Pôle Fa - ELICA,1,1,0,19,19,"100,00%"
25/03/2026,10:45:00,Pôle Fa - ELICA,2,2,0,106,53,"100,00%"
25/03/2026,14:45:00,Pôle Fa - ELICA,1,1,0,68,68,"100,00%"
25/03/2026,17:15:00,Pôle Fa - ELICA,1,1,0,63,63,"100,00%"
25/03/2026,17:30:00,Pôle Fa - ELICA,3,3,0,142,47.33,"100,00%"
25/03/2026,09:15:00,Pôle Fa - ELICA,1,1,0,13,13,"100,00%"
25/03/2026,15:00:00,Pôle FA - MIDEA,1,1,0,270,270,"100,00%"
25/03/2026,09:30:00,Pôle FA - MIDEA,1,1,0,402,402,"100,00%"
25/03/2026,13:30:00,Pôle FA - MIDEA,1,1,0,119,119,"100,00%"
25/03/2026,08:30:00,Pôle FA - MIDEA,7,7,0,554,79.14,"100,00%"
25/03/2026,14:15:00,Pôle FA - MIDEA,1,1,0,131,131,"100,00%"
25/03/2026,08:45:00,Pôle FA - MIDEA,7,7,0,684,97.71,"100,00%"
25/03/2026,09:15:00,Pôle FA - MIDEA,1,1,0,586,586,"100,00%"
25/03/2026,16:30:00,Pôle FA - MIDEA,5,4,1,293,58.6,"80,00%"
25/03/2026,08:00:00,Pôle FA - MIDEA,7,6,1,931,133,"85,71%"
25/03/2026,10:45:00,Pôle FA - MIDEA,1,1,0,6,6,"100,00%"
25/03/2026,14:45:00,Pôle FA - MIDEA,1,1,0,600,600,"100,00%"
25/03/2026,15:15:00,Pôle FA - MIDEA,1,1,0,145,145,"100,00%"
25/03/2026,11:45:00,Pôle FA - MIDEA,2,2,0,118,59,"100,00%"
25/03/2026,12:15:00,Pôle FA - MIDEA,4,4,0,331,82.75,"100,00%"
25/03/2026,09:00:00,Pôle FA - MIDEA,2,2,0,727,363.5,"100,00%"
25/03/2026,08:15:00,Pôle FA - MIDEA,10,10,0,1007,100.7,"100,00%"
25/03/2026,12:00:00,Pôle FA - MIDEA,2,2,0,76,38,"100,00%"
25/03/2026,09:30:00,Pôle FA - SALM AIRFORCE,1,1,0,204,204,"100,00%"
25/03/2026,10:00:00,Pôle FA - SALM AIRFORCE,3,3,0,989,329.67,"100,00%"
25/03/2026,08:00:00,unknown,2,2,0,1364,682,"100,00%"
25/03/2026,08:45:00,unknown,2,2,0,504,252,"100,00%"
25/03/2026,09:15:00,unknown,1,1,0,1059,1059,"100,00%"
25/03/2026,09:30:00,unknown,2,2,0,909,454.5,"100,00%"
25/03/2026,09:45:00,unknown,2,2,0,1242,621,"100,00%"
25/03/2026,10:00:00,unknown,1,1,0,81,81,"100,00%"
25/03/2026,10:45:00,unknown,1,1,0,82,82,"100,00%"
25/03/2026,11:15:00,unknown,1,1,0,463,463,"100,00%"
25/03/2026,12:30:00,unknown,1,1,0,581,581,"100,00%"
25/03/2026,13:00:00,unknown,1,1,0,94,94,"100,00%"
25/03/2026,13:15:00,unknown,1,1,0,341,341,"100,00%"
25/03/2026,13:30:00,unknown,1,1,0,499,499,"100,00%"
25/03/2026,13:45:00,unknown,2,2,0,1119,559.5,"100,00%"
25/03/2026,14:00:00,unknown,1,1,0,278,278,"100,00%"
25/03/2026,14:15:00,unknown,1,1,0,697,697,"100,00%"
25/03/2026,15:15:00,unknown,1,1,0,641,641,"100,00%"
25/03/2026,16:45:00,unknown,3,3,0,957,319,"100,00%"
25/03/2026,17:00:00,unknown,1,1,0,458,458,"100,00%"
25/03/2026,16:30:00,Pôle FA - ROBLIN,1,1,0,45,45,"100,00%"
25/03/2026,12:30:00,Pôle FA - CHANGHONG,1,1,0,9,9,"100,00%"
25/03/2026,13:30:00,Pôle FA - CHANGHONG,1,1,0,7,7,"100,00%"
25/03/2026,13:45:00,Pôle FA - CHANGHONG,1,1,0,2,2,"100,00%"
Total pour 25/03/2026,,,102,100,2,21685,212.60,"98,04%"
